,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID,track Number
Breezy___twofiveone,0.623,0.237,2.0,-11.584,1.0,0.0585,0.956,0.927,0.0667,0.312,127.731,audio_features,1RJ9STs7SiUnSFsRvIKrX2,spotify:track:1RJ9STs7SiUnSFsRvIKrX2,https://api.spotify.com/v1/tracks/1RJ9STs7SiUnSFsRvIKrX2,https://api.spotify.com/v1/audio-analysis/1RJ9STs7SiUnSFsRvIKrX2,170959.0,1.0,Morning Coffee,6SyfRVMVetoCiUXBEzCJ0J,1019
One for the Lady (feat. Jean Pierre)___Leeyou & Danceey,0.782,0.694,1.0,-5.755,0.0,0.0383,0.209,0.0052,0.109,0.252,122.115,audio_features,7m99QnIKUtBIOZahprIlQu,spotify:track:7m99QnIKUtBIOZahprIlQu,https://api.spotify.com/v1/tracks/7m99QnIKUtBIOZahprIlQu,https://api.spotify.com/v1/audio-analysis/7m99QnIKUtBIOZahprIlQu,174000.0,4.0,One for the Lady (feat. Jean Pierre),3StSr6WpHxzi2RlyOozycV,1020
Somebody___The Chainsmokers,0.864,0.495,0.0,-7.036,1.0,0.037,0.591,0.000133,0.0992,0.72,129.062,audio_features,4wCmqSrbyCgxEXROQE6vtV,spotify:track:4wCmqSrbyCgxEXROQE6vtV,https://api.spotify.com/v1/tracks/4wCmqSrbyCgxEXROQE6vtV,https://api.spotify.com/v1/audio-analysis/4wCmqSrbyCgxEXROQE6vtV,244973.0,4.0,Making Mirrors,1HjSyGjmLNjRAKgT9t1cna,1021
Insomnia___Daya,0.754,0.653,7.0,-5.095,1.0,0.0611,0.0944,0.0,0.383,0.379,123.084,audio_features,7hzlzoOwCZ4D3Ow5YZK4kj,spotify:track:7hzlzoOwCZ4D3Ow5YZK4kj,https://api.spotify.com/v1/tracks/7hzlzoOwCZ4D3Ow5YZK4kj,https://api.spotify.com/v1/audio-analysis/7hzlzoOwCZ4D3Ow5YZK4kj,179746.0,4.0,Insomnia,673e3sPgdJWrPAIBvaKysa,1022
Peru - Remix___Fireboy DML,0.966,0.509,7.0,-7.559,0.0,0.123,0.496,0.0,0.0799,0.646,108.013,audio_features,7voSun33hCNkIrjxaj3g47,spotify:track:7voSun33hCNkIrjxaj3g47,https://api.spotify.com/v1/tracks/7voSun33hCNkIrjxaj3g47,https://api.spotify.com/v1/audio-analysis/7voSun33hCNkIrjxaj3g47,186953.0,4.0,Peru (Remix),4Kg4K6I165RgFvAnWy14Md,1023
Illumination___Jennifer Thomas,0.536,0.645,5.0,-9.353,0.0,0.0282,0.794,0.916,0.213,0.21,110.021,audio_features,6DYr2uPo8xeC1URwPINuy0,spotify:track:6DYr2uPo8xeC1URwPINuy0,https://api.spotify.com/v1/tracks/6DYr2uPo8xeC1URwPINuy0,https://api.spotify.com/v1/audio-analysis/6DYr2uPo8xeC1URwPINuy0,246960.0,4.0,Illumination,3PAoOi8nBIUTGPlrxFSJSe,1024
Finale (feat. Nicholas Petricca) - Dub Mix___Madeon,0.519,0.856,7.0,-3.856,0.0,0.0413,0.00109,0.0754,0.141,0.0439,92.029,audio_features,0TcUVcSUPTnoXwgkpi9C1y,spotify:track:0TcUVcSUPTnoXwgkpi9C1y,https://api.spotify.com/v1/tracks/0TcUVcSUPTnoXwgkpi9C1y,https://api.spotify.com/v1/audio-analysis/0TcUVcSUPTnoXwgkpi9C1y,205227.0,4.0,Finale,0HVrSL0ICBN2rnc9NUr6wB,1025
Call Me Now___Michael Calfan,0.77,0.673,1.0,-5.466,1.0,0.0535,0.0273,0.0,0.425,0.569,122.016,audio_features,5ZSIKIjJtKnqT9lJcP6BvM,spotify:track:5ZSIKIjJtKnqT9lJcP6BvM,https://api.spotify.com/v1/tracks/5ZSIKIjJtKnqT9lJcP6BvM,https://api.spotify.com/v1/audio-analysis/5ZSIKIjJtKnqT9lJcP6BvM,146866.0,4.0,Call Me Now,2DAC8ojG0pgvJUoiwmcS3F,1026
The Other Way___TABAL,0.579,0.172,6.0,-12.942,0.0,0.0813,0.819,0.00282,0.0797,0.15,77.992,audio_features,2sfXuPQepwqQjMkOWD05fk,spotify:track:2sfXuPQepwqQjMkOWD05fk,https://api.spotify.com/v1/tracks/2sfXuPQepwqQjMkOWD05fk,https://api.spotify.com/v1/audio-analysis/2sfXuPQepwqQjMkOWD05fk,156923.0,1.0,Last Light,1xuJudoqU0IwofmBzSn5Z7,1027
We Are Young (feat. Janelle Monáe)___fun.,0.378,0.638,10.0,-5.576,1.0,0.075,0.02,7.66e-05,0.0849,0.735,184.086,audio_features,7a86XRg84qjasly9f6bPSD,spotify:track:7a86XRg84qjasly9f6bPSD,https://api.spotify.com/v1/tracks/7a86XRg84qjasly9f6bPSD,https://api.spotify.com/v1/audio-analysis/7a86XRg84qjasly9f6bPSD,250627.0,4.0,Some Nights,7iycyHwOW2plljYIK6I1Zo,1028
Capsize___FRENSHIP,0.683,0.708,5.0,-6.244,0.0,0.0305,0.0398,0.155,0.686,0.355,92.991,audio_features,2XMTqoHHSH0lvuXrvIEdco,spotify:track:2XMTqoHHSH0lvuXrvIEdco,https://api.spotify.com/v1/tracks/2XMTqoHHSH0lvuXrvIEdco,https://api.spotify.com/v1/audio-analysis/2XMTqoHHSH0lvuXrvIEdco,237707.0,4.0,Truce - EP,5qeKpDQFyotJjLh61pUZQo,1029
HOLD ME TIGHT OR DON’T___Fall Out Boy,0.582,0.925,6.0,-4.366,0.0,0.0523,0.00699,2.9e-06,0.108,0.788,95.987,audio_features,0Q9vbV7G2Q6lts13nY9YGP,spotify:track:0Q9vbV7G2Q6lts13nY9YGP,https://api.spotify.com/v1/tracks/0Q9vbV7G2Q6lts13nY9YGP,https://api.spotify.com/v1/audio-analysis/0Q9vbV7G2Q6lts13nY9YGP,210360.0,4.0,MANIA,16xtTZvPH6PXcwSqYqJHHG,1030
Tears For Later___Don Diablo,0.633,0.866,1.0,-3.694,1.0,0.149,0.0246,0.001,0.0904,0.161,95.059,audio_features,0qLCGr3tEqsvk5FfHU2XqV,spotify:track:0qLCGr3tEqsvk5FfHU2XqV,https://api.spotify.com/v1/tracks/0qLCGr3tEqsvk5FfHU2XqV,https://api.spotify.com/v1/audio-analysis/0qLCGr3tEqsvk5FfHU2XqV,166737.0,4.0,Tears For Later,79k3hCGte01bmCcvPDEdwO,1031
Kamikaze___Eminem,0.876,0.786,10.0,-4.884,0.0,0.306,0.0627,0.0,0.127,0.575,153.068,audio_features,60SdxE8apGAxMiRrpbmLY0,spotify:track:60SdxE8apGAxMiRrpbmLY0,https://api.spotify.com/v1/tracks/60SdxE8apGAxMiRrpbmLY0,https://api.spotify.com/v1/audio-analysis/60SdxE8apGAxMiRrpbmLY0,244679.0,4.0,Kamikaze,3HNnxK7NgLXbDoxRZxNWiR,1032
Stuck In A Dream (feat. Gunna)___Lil Mosey,0.748,0.648,10.0,-6.445,0.0,0.0816,0.484,0.0,0.126,0.726,139.952,audio_features,7iHHxY2NLlJRAmlAmC4ahQ,spotify:track:7iHHxY2NLlJRAmlAmC4ahQ,https://api.spotify.com/v1/tracks/7iHHxY2NLlJRAmlAmC4ahQ,https://api.spotify.com/v1/audio-analysis/7iHHxY2NLlJRAmlAmC4ahQ,123560.0,4.0,Certified Hitmaker,0y1rJ1B0Q9MqxX9Svuyuyp,1033
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit___Daft Punk,0.794,0.811,6.0,-8.966,0.0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,audio_features,2Foc5Q5nqNiosCNqttzHof,spotify:track:2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/audio-analysis/2Foc5Q5nqNiosCNqttzHof,248413.0,4.0,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],2ePFIvZKMe8zefATp9ofFA,1034
Drink About___Seeb,0.629,0.745,6.0,-2.936,1.0,0.0649,0.147,0.0,0.257,0.496,99.995,audio_features,73WJ6rYbtFi0Z2T4hPS1iN,spotify:track:73WJ6rYbtFi0Z2T4hPS1iN,https://api.spotify.com/v1/tracks/73WJ6rYbtFi0Z2T4hPS1iN,https://api.spotify.com/v1/audio-analysis/73WJ6rYbtFi0Z2T4hPS1iN,182265.0,4.0,Nice To Meet You,6ERbVmi33M9tKn7RNtt17G,1035
Flood___Sátyr,,,,,,,,,,,,,,,,,,,,,1036
Celebrity___IU,0.73,0.784,9.0,-2.62,1.0,0.0691,0.191,0.0,0.0956,0.673,99.995,audio_features,5nCwjUUsmBuNZKn9Xu10Os,spotify:track:5nCwjUUsmBuNZKn9Xu10Os,https://api.spotify.com/v1/tracks/5nCwjUUsmBuNZKn9Xu10Os,https://api.spotify.com/v1/audio-analysis/5nCwjUUsmBuNZKn9Xu10Os,195547.0,4.0,IU 5th Album 'LILAC',01dPJcwyht77brL4JQiR8R,1037
Last Summer___Ikson,0.664,0.939,0.0,-3.594,1.0,0.0805,0.228,0.0341,0.048,0.358,179.999,audio_features,57mYDr5l9wKhQUsFCs7Mf6,spotify:track:57mYDr5l9wKhQUsFCs7Mf6,https://api.spotify.com/v1/tracks/57mYDr5l9wKhQUsFCs7Mf6,https://api.spotify.com/v1/audio-analysis/57mYDr5l9wKhQUsFCs7Mf6,166583.0,4.0,Last Summer,68WTT4IqM6PxFLAQDIx1mk,1038
On & On___Cartoon,0.451,0.692,11.0,-4.741,1.0,0.0398,0.287,0.0,0.115,0.423,174.122,audio_features,2uZWffKoemZDI0gHcBEcDc,spotify:track:2uZWffKoemZDI0gHcBEcDc,https://api.spotify.com/v1/tracks/2uZWffKoemZDI0gHcBEcDc,https://api.spotify.com/v1/audio-analysis/2uZWffKoemZDI0gHcBEcDc,207069.0,4.0,On & On,6Unm4KKxYtjR08J1wEOnkc,1039
Emiliana___CKay,0.738,0.549,6.0,-9.704,1.0,0.0513,0.638,0.402,0.111,0.475,98.965,audio_features,6lZ5p6VTbZ2ZvnsdTlLv7I,spotify:track:6lZ5p6VTbZ2ZvnsdTlLv7I,https://api.spotify.com/v1/tracks/6lZ5p6VTbZ2ZvnsdTlLv7I,https://api.spotify.com/v1/audio-analysis/6lZ5p6VTbZ2ZvnsdTlLv7I,164848.0,4.0,Emiliana,4LTckGxBOI0fEkliC3zbIp,1040
Post Malone (feat. RANI)___Sam Feldt,0.59,0.642,7.0,-3.87,1.0,0.122,0.0771,0.0,0.105,0.651,107.356,audio_features,0qc4QlcCxVTGyShurEv1UU,spotify:track:0qc4QlcCxVTGyShurEv1UU,https://api.spotify.com/v1/tracks/0qc4QlcCxVTGyShurEv1UU,https://api.spotify.com/v1/audio-analysis/0qc4QlcCxVTGyShurEv1UU,174444.0,4.0,Magnets EP,41S9bfzXTSGK4HU2mp5qXH,1041
Ride or Die (feat. Phoebe Ryan)___Cash Cash,0.547,0.881,0.0,-3.152,0.0,0.0512,0.0159,0.0,0.171,0.215,99.979,audio_features,5vlOmC9rYZKO69KYkcX8va,spotify:track:5vlOmC9rYZKO69KYkcX8va,https://api.spotify.com/v1/tracks/5vlOmC9rYZKO69KYkcX8va,https://api.spotify.com/v1/audio-analysis/5vlOmC9rYZKO69KYkcX8va,188400.0,4.0,Say It Like You Feel It,0H6bk8i41v1IKnuIPlPF6b,1042
Heroes Tonight___Janji,0.537,0.786,8.0,-4.331,1.0,0.0317,0.075,0.0,0.253,0.178,127.994,audio_features,5fOjFkFA0k5MTOo1LmnVTO,spotify:track:5fOjFkFA0k5MTOo1LmnVTO,https://api.spotify.com/v1/tracks/5fOjFkFA0k5MTOo1LmnVTO,https://api.spotify.com/v1/audio-analysis/5fOjFkFA0k5MTOo1LmnVTO,208140.0,3.0,Heroes Tonight,1Rc0YAUUUhW5WuOXvgePFM,1043
Fortune Days___The Glitch Mob,0.598,0.67,1.0,-9.205,0.0,0.095,0.383,0.805,0.0781,0.189,104.964,audio_features,5VWVVSABdgccboSdrKGiZH,spotify:track:5VWVVSABdgccboSdrKGiZH,https://api.spotify.com/v1/tracks/5VWVVSABdgccboSdrKGiZH,https://api.spotify.com/v1/audio-analysis/5VWVVSABdgccboSdrKGiZH,382813.0,4.0,Drink the Sea,4c5fhgLoAaFzwjNTxC57jK,1044
Lasting Lover - Michael Calfan Remix___Sigala,0.77,0.645,10.0,-5.908,0.0,0.0503,0.301,6.24e-06,0.0902,0.232,122.007,audio_features,5Oym6wBix2J7pj1VJ8sj0W,spotify:track:5Oym6wBix2J7pj1VJ8sj0W,https://api.spotify.com/v1/tracks/5Oym6wBix2J7pj1VJ8sj0W,https://api.spotify.com/v1/audio-analysis/5Oym6wBix2J7pj1VJ8sj0W,193707.0,4.0,Lasting Lover (Michael Calfan Remix),2Zoy9FF5aDzKhWKr2nq1lW,1045
through the fire___Kayou.,0.113,0.951,0.0,-4.743,0.0,0.129,0.00176,0.00718,0.334,0.139,200.024,audio_features,6nnacTL5on2aVsRhVDNUSo,spotify:track:6nnacTL5on2aVsRhVDNUSo,https://api.spotify.com/v1/tracks/6nnacTL5on2aVsRhVDNUSo,https://api.spotify.com/v1/audio-analysis/6nnacTL5on2aVsRhVDNUSo,441560.0,4.0,Inhuman Rampage,5hzFLt9DwW1RXr7omvS4B5,1046
Trust Nobody___DJ Snake,0.45,0.912,1.0,-2.659,1.0,0.0485,0.00774,8.48e-05,0.574,0.328,150.026,audio_features,08bDGEzsYd9ebCc7p23X4j,spotify:track:08bDGEzsYd9ebCc7p23X4j,https://api.spotify.com/v1/tracks/08bDGEzsYd9ebCc7p23X4j,https://api.spotify.com/v1/audio-analysis/08bDGEzsYd9ebCc7p23X4j,211200.0,4.0,Trust Nobody,3wRs5NGdWArDIHoUw9UNMJ,1047
Try Me___The Weeknd,0.456,0.679,8.0,-5.778,0.0,0.064,0.596,0.000573,0.129,0.107,92.026,audio_features,4ppTAJUbNXELZcoUaL90wo,spotify:track:4ppTAJUbNXELZcoUaL90wo,https://api.spotify.com/v1/tracks/4ppTAJUbNXELZcoUaL90wo,https://api.spotify.com/v1/audio-analysis/4ppTAJUbNXELZcoUaL90wo,221107.0,4.0,"My Dear Melancholy,",4qZBW3f2Q8y0k1A84d4iAO,1048
Fireflies___TABAL,0.512,0.662,3.0,-6.797,1.0,0.0439,0.0275,0.0,0.118,0.472,180.114,audio_features,3DamFFqW32WihKkTVlwTYQ,spotify:track:3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/tracks/3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/audio-analysis/3DamFFqW32WihKkTVlwTYQ,228347.0,4.0,Ocean Eyes,3vf65wfk1EEjVhy6BjENsS,1049
I GUESS I'M IN LOVE___Clinton Kane,0.422,0.34,0.0,-6.577,1.0,0.0351,0.877,1.77e-05,0.149,0.223,77.213,audio_features,1is8gU4RVcN4J8xItxWoOY,spotify:track:1is8gU4RVcN4J8xItxWoOY,https://api.spotify.com/v1/tracks/1is8gU4RVcN4J8xItxWoOY,https://api.spotify.com/v1/audio-analysis/1is8gU4RVcN4J8xItxWoOY,204094.0,4.0,I GUESS I'M IN LOVE,56meo2KJ9tRlaGUHSGfTpP,1050
Beginner___Pandrezz,0.647,0.131,0.0,-14.938,0.0,0.0611,0.551,0.881,0.104,0.167,80.055,audio_features,1O7C8q1FwxgkQItZRNe9LD,spotify:track:1O7C8q1FwxgkQItZRNe9LD,https://api.spotify.com/v1/tracks/1O7C8q1FwxgkQItZRNe9LD,https://api.spotify.com/v1/audio-analysis/1O7C8q1FwxgkQItZRNe9LD,153000.0,4.0,Feelin Better,77ClvAY7JTVSyG3m0TTrwO,1051
Roses - Imanbek Remix___SAINt JHN,0.769,0.719,8.0,-5.472,1.0,0.0474,0.0143,0.00777,0.359,0.863,121.955,audio_features,0zLCBJZSiELJf02ucPP9wb,spotify:track:0zLCBJZSiELJf02ucPP9wb,https://api.spotify.com/v1/tracks/0zLCBJZSiELJf02ucPP9wb,https://api.spotify.com/v1/audio-analysis/0zLCBJZSiELJf02ucPP9wb,176867.0,4.0,While The World Was Burning,1OmWlObj9gAwNnTNgxBUmz,1052
This Is America___Childish Gambino,0.854,0.463,5.0,-6.159,1.0,0.137,0.117,0.0,0.354,0.549,120.024,audio_features,0b9oOr2ZgvyQu88wzixux9,spotify:track:0b9oOr2ZgvyQu88wzixux9,https://api.spotify.com/v1/tracks/0b9oOr2ZgvyQu88wzixux9,https://api.spotify.com/v1/audio-analysis/0b9oOr2ZgvyQu88wzixux9,225773.0,4.0,This Is America,7arx9qPJexCsDz67El4qvk,1053
Wake Up Call___Maroon 5,0.632,0.949,4.0,-2.671,0.0,0.0593,0.0302,0.0,0.0871,0.969,164.118,audio_features,1zqllQUMCgMaInr0CzFVll,spotify:track:1zqllQUMCgMaInr0CzFVll,https://api.spotify.com/v1/tracks/1zqllQUMCgMaInr0CzFVll,https://api.spotify.com/v1/audio-analysis/1zqllQUMCgMaInr0CzFVll,201307.0,4.0,It Won't Be Soon Before Long.,29hJ8AFYZU98OzenrMr6iU,1054
rockstar (feat. 21 Savage)___Post Malone,0.585,0.52,5.0,-6.136,0.0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,audio_features,0e7ipj03S05BNilyu5bRzt,spotify:track:0e7ipj03S05BNilyu5bRzt,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,218147.0,4.0,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,1055
Technologic___Daft Punk,0.812,0.516,9.0,-6.963,1.0,0.224,0.000369,1.09e-05,0.0991,0.633,127.498,audio_features,0LSLM0zuWRkEYemF7JcfEE,spotify:track:0LSLM0zuWRkEYemF7JcfEE,https://api.spotify.com/v1/tracks/0LSLM0zuWRkEYemF7JcfEE,https://api.spotify.com/v1/audio-analysis/0LSLM0zuWRkEYemF7JcfEE,284280.0,4.0,Human After All,1A2GTWGtFfWp7KSQTwWOyo,1056
Until The Morning Comes___softy,0.645,0.384,11.0,-10.897,1.0,0.0422,0.921,0.198,0.117,0.183,58.062,audio_features,2xKqG7zOZHnUElruzvenl3,spotify:track:2xKqG7zOZHnUElruzvenl3,https://api.spotify.com/v1/tracks/2xKqG7zOZHnUElruzvenl3,https://api.spotify.com/v1/audio-analysis/2xKqG7zOZHnUElruzvenl3,137586.0,4.0,The Beauty Around Us,1wP2Dwzd5uMCzzGjvCKV8l,1057
Past Life___Trevor Daniel,0.575,0.543,3.0,-5.062,1.0,0.0529,0.102,0.0,0.176,0.283,159.905,audio_features,7MN8RYSofZsFROBlEOAzXq,spotify:track:7MN8RYSofZsFROBlEOAzXq,https://api.spotify.com/v1/tracks/7MN8RYSofZsFROBlEOAzXq,https://api.spotify.com/v1/audio-analysis/7MN8RYSofZsFROBlEOAzXq,186480.0,4.0,Past Life (with Selena Gomez),0VNOVfFWUXhUx8l3RNas8F,1058
Oceans & Galaxies___Jauz,0.532,0.625,1.0,-7.472,0.0,0.0506,0.12,3.35e-05,0.103,0.297,145.857,audio_features,5NQKpa6uCqZcaFkAbUK4XB,spotify:track:5NQKpa6uCqZcaFkAbUK4XB,https://api.spotify.com/v1/tracks/5NQKpa6uCqZcaFkAbUK4XB,https://api.spotify.com/v1/audio-analysis/5NQKpa6uCqZcaFkAbUK4XB,200548.0,4.0,Oceans & Galaxies,68ktA77AGDVlrifYU53GzL,1059
Connection___OneRepublic,0.611,0.602,5.0,-4.89,1.0,0.0437,0.000837,0.0,0.112,0.624,168.154,audio_features,3T4UodGkfZObJ43RtA5KFU,spotify:track:3T4UodGkfZObJ43RtA5KFU,https://api.spotify.com/v1/tracks/3T4UodGkfZObJ43RtA5KFU,https://api.spotify.com/v1/audio-analysis/3T4UodGkfZObJ43RtA5KFU,148460.0,4.0,Connection,6rVOUFV4qi8MgqF7na73rX,1060
Hall of Fame (feat. will.i.am)___The Script,0.421,0.873,10.0,-4.343,1.0,0.0564,0.0654,0.0,0.123,0.629,84.786,audio_features,1X1DWw2pcNZ8zSub3uhlNz,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,https://api.spotify.com/v1/tracks/1X1DWw2pcNZ8zSub3uhlNz,https://api.spotify.com/v1/audio-analysis/1X1DWw2pcNZ8zSub3uhlNz,202533.0,4.0,#3,63eaHsLLsW1e5ISNf7ISZy,1061
Origami___Gia Koka,0.483,0.802,11.0,-6.463,1.0,0.0552,0.00703,0.0137,0.245,0.627,129.933,audio_features,3qpyxgH65qNhJ9hLS2gWrS,spotify:track:3qpyxgH65qNhJ9hLS2gWrS,https://api.spotify.com/v1/tracks/3qpyxgH65qNhJ9hLS2gWrS,https://api.spotify.com/v1/audio-analysis/3qpyxgH65qNhJ9hLS2gWrS,174182.0,4.0,Big Whoop,3LJ8HoyzFM8NA5M1zd7Z5W,1062
Adanel___DaniSogen,0.712,0.172,11.0,-17.495,0.0,0.0374,0.636,0.875,0.283,0.221,119.978,audio_features,5IPMWqFuj31FeGZyUBd6qe,spotify:track:5IPMWqFuj31FeGZyUBd6qe,https://api.spotify.com/v1/tracks/5IPMWqFuj31FeGZyUBd6qe,https://api.spotify.com/v1/audio-analysis/5IPMWqFuj31FeGZyUBd6qe,160000.0,4.0,A World of Illusion,6rEEH6Et9T6xFrFYq2m5mp,1063
Home with You___Madison Beer,0.631,0.599,7.0,-6.137,0.0,0.0878,0.067,0.0,0.0952,0.727,170.122,audio_features,0iwsQWgtjSq2kUXuZwTDAL,spotify:track:0iwsQWgtjSq2kUXuZwTDAL,https://api.spotify.com/v1/tracks/0iwsQWgtjSq2kUXuZwTDAL,https://api.spotify.com/v1/audio-analysis/0iwsQWgtjSq2kUXuZwTDAL,190576.0,4.0,As She Pleases,5boeEaUtj7gHXFxKtFFlzL,1064
Let Go___Beau Young Prince,0.764,0.725,7.0,-8.812,1.0,0.0576,0.463,5.91e-06,0.109,0.0794,100.063,audio_features,5F2AuFzEiuAQD0JVNjVJQz,spotify:track:5F2AuFzEiuAQD0JVNjVJQz,https://api.spotify.com/v1/tracks/5F2AuFzEiuAQD0JVNjVJQz,https://api.spotify.com/v1/audio-analysis/5F2AuFzEiuAQD0JVNjVJQz,177653.0,4.0,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),35s58BRTGAEWztPo9WqCIs,1065
I Was Wrong - Robin Schulz Remix___A R I Z O N A,0.653,0.762,6.0,-7.111,1.0,0.0506,0.371,0.00687,0.0951,0.526,117.977,audio_features,4RNpfZR9Zm7efzuMghkPKb,spotify:track:4RNpfZR9Zm7efzuMghkPKb,https://api.spotify.com/v1/tracks/4RNpfZR9Zm7efzuMghkPKb,https://api.spotify.com/v1/audio-analysis/4RNpfZR9Zm7efzuMghkPKb,220678.0,4.0,I Was Wrong (Remixes),5k8iqv5tY2xuPLspfa9xBY,1066
Don't Leave___Snakehips,0.657,0.703,1.0,-3.402,1.0,0.0753,0.222,0.0,0.256,0.338,122.381,audio_features,0Zx8khUcEfCFK2AEoIhC92,spotify:track:0Zx8khUcEfCFK2AEoIhC92,https://api.spotify.com/v1/tracks/0Zx8khUcEfCFK2AEoIhC92,https://api.spotify.com/v1/audio-analysis/0Zx8khUcEfCFK2AEoIhC92,214693.0,4.0,Don't Leave,6buSUFSCXUIj3DOH3gUoRe,1067
Out My Way___Juice WRLD,0.665,0.832,10.0,-3.166,0.0,0.34,0.107,0.0,0.776,0.498,164.147,audio_features,2wkej79m7pKn0iTljW929c,spotify:track:2wkej79m7pKn0iTljW929c,https://api.spotify.com/v1/tracks/2wkej79m7pKn0iTljW929c,https://api.spotify.com/v1/audio-analysis/2wkej79m7pKn0iTljW929c,156621.0,4.0,Death Race For Love (Bonus Track Version),1btu0SV2DOI5HoFsvUd78F,1068
One Last Time___Thaehan,0.677,0.119,7.0,-17.54,1.0,0.101,0.669,0.906,0.104,0.0855,74.919,audio_features,6IC0untdEsc2PeKcQgZWN9,spotify:track:6IC0untdEsc2PeKcQgZWN9,https://api.spotify.com/v1/tracks/6IC0untdEsc2PeKcQgZWN9,https://api.spotify.com/v1/audio-analysis/6IC0untdEsc2PeKcQgZWN9,140800.0,5.0,Hourglass,2rZTW31z0d1DhCztQr21b2,1069
Cruzin' (feat. St Rulez)___Snakehips,0.622,0.851,6.0,-4.665,0.0,0.357,0.215,0.0,0.111,0.541,96.024,audio_features,5iwb2YMVfNU5zGliOdwbcj,spotify:track:5iwb2YMVfNU5zGliOdwbcj,https://api.spotify.com/v1/tracks/5iwb2YMVfNU5zGliOdwbcj,https://api.spotify.com/v1/audio-analysis/5iwb2YMVfNU5zGliOdwbcj,218063.0,4.0,STAY HOME TAPES (= --__-- =),0LeXQyrzNvcgAOztFEtOsp,1070
"Episode 1, Giorgio Moroder___Daft Punk",0.717,0.382,9.0,-13.752,1.0,0.64,0.506,0.0,0.242,0.622,116.632,audio_features,4l2bO887Yauqos4LwkCwBm,spotify:track:4l2bO887Yauqos4LwkCwBm,https://api.spotify.com/v1/tracks/4l2bO887Yauqos4LwkCwBm,https://api.spotify.com/v1/audio-analysis/4l2bO887Yauqos4LwkCwBm,473507.0,4.0,Daft Punk | Random Access Memories | The Collaborators,3QbWxiYTlTCLjHYgrgMCfU,1071
Clash (feat. Stormzy)___Dave,0.871,0.519,2.0,-6.549,1.0,0.258,0.313,8.14e-06,0.0869,0.532,140.013,audio_features,2zxEc1GCSCxbHIXTfhraRC,spotify:track:2zxEc1GCSCxbHIXTfhraRC,https://api.spotify.com/v1/tracks/2zxEc1GCSCxbHIXTfhraRC,https://api.spotify.com/v1/audio-analysis/2zxEc1GCSCxbHIXTfhraRC,251733.0,4.0,We're All Alone In This Together,6HwzIlrCDq3WF9vMq8meqG,1072
Shadows___Aero Chord,0.67,0.845,5.0,-5.932,0.0,0.051,0.134,0.101,0.121,0.307,95.004,audio_features,3mnSawKqEsmgRD9HjHXrrl,spotify:track:3mnSawKqEsmgRD9HjHXrrl,https://api.spotify.com/v1/tracks/3mnSawKqEsmgRD9HjHXrrl,https://api.spotify.com/v1/audio-analysis/3mnSawKqEsmgRD9HjHXrrl,159931.0,4.0,Shadows,3EZFFoGWsTcv536HF9JRmL,1073
Water___BAYNK,0.612,0.532,6.0,-6.834,0.0,0.0426,0.187,0.576,0.147,0.0795,101.991,audio_features,0bHLNUoBzK83c61N9W4ohF,spotify:track:0bHLNUoBzK83c61N9W4ohF,https://api.spotify.com/v1/tracks/0bHLNUoBzK83c61N9W4ohF,https://api.spotify.com/v1/audio-analysis/0bHLNUoBzK83c61N9W4ohF,175194.0,4.0,Water,7dXb3iaFdn3SPGnklRM3mj,1074
Spend Some Time___goosetaf,0.776,0.351,9.0,-8.794,1.0,0.17,0.936,0.793,0.09,0.153,128.189,audio_features,18qKtfOEGDpkEpB0pT42Lr,spotify:track:18qKtfOEGDpkEpB0pT42Lr,https://api.spotify.com/v1/tracks/18qKtfOEGDpkEpB0pT42Lr,https://api.spotify.com/v1/audio-analysis/18qKtfOEGDpkEpB0pT42Lr,135000.0,4.0,Perpetual,22cGIyIDKV7ZcOMuiBqf8R,1075
Take It Off___Two Friends,0.729,0.625,3.0,-6.878,1.0,0.115,0.0535,0.0,0.395,0.667,99.991,audio_features,18rkFZIlEVdXIpOulP72cZ,spotify:track:18rkFZIlEVdXIpOulP72cZ,https://api.spotify.com/v1/tracks/18rkFZIlEVdXIpOulP72cZ,https://api.spotify.com/v1/audio-analysis/18rkFZIlEVdXIpOulP72cZ,194441.0,4.0,Take It Off,6iNlMXvUtxkcofqQBzKrQL,1076
